,alpha,avg_net_reward,epsilon,final_deadline,gamma,net_reward,success
360,0.1,20.5829186508,0.1,4.05,0.9,21.265,0.33
361,0.1,19.797827381,0.1,14.27,0.95,20.575,0.95
362,0.1,6.19375,0.1,0.99,1.0,6.235,0.03
363,0.15,20.4706388889,0.1,11.68,0.5,21.11,0.81
364,0.15,19.7193313492,0.1,12.2,0.55,20.485,0.87
365,0.15,21.8871964286,0.1,10.86,0.6,22.29,0.77
366,0.15,23.327827381,0.1,10.74,0.65,24.03,0.78
367,0.15,22.8366547619,0.1,7.64,0.7,23.235,0.62
368,0.15,22.0444861111,0.1,8.95,0.75,22.475,0.7
369,0.15,19.4151666667,0.1,10.94,0.8,20.17,0.89
370,0.15,18.168890873,0.1,8.37,0.85,19.285,0.57
371,0.15,18.3103611111,0.1,10.9,0.9,18.725,0.72
372,0.15,20.0424880952,0.1,4.11,0.95,20.18,0.25
373,0.15,13.4706309524,0.1,5.18,1.0,14.06,0.39
374,0.2,22.8010059524,0.1,12.14,0.5,23.55,0.83
375,0.2,21.6425892857,0.1,10.65,0.55,22.78,0.77
376,0.2,23.6862400794,0.1,9.81,0.6,24.345,0.64
377,0.2,22.9019206349,0.1,8.26,0.65,23.19,0.66
378,0.2,22.7542261905,0.1,6.6,0.7,23.065,0.54
379,0.2,21.4932757937,0.1,12.01,0.75,22.085,0.84
380,0.2,20.170265873,0.1,8.31,0.8,21.47,0.61
381,0.2,19.8541646825,0.1,11.08,0.85,20.415,0.83
382,0.2,16.11525,0.1,10.2,0.9,16.675,0.7
383,0.2,20.9651071429,0.1,12.5,0.95,21.71,0.83
384,0.2,16.0346626984,0.1,7.05,1.0,15.935,0.49
385,0.25,20.6060218254,0.1,10.84,0.5,20.685,0.77
386,0.25,23.8828809524,0.1,9.14,0.55,24.7,0.58
387,0.25,22.7890297619,0.1,8.77,0.6,23.41,0.67
388,0.25,24.5332678571,0.1,9.25,0.65,24.79,0.66
389,0.25,20.3068313492,0.1,10.33,0.7,20.865,0.79
390,0.25,22.0236031746,0.1,10.66,0.75,22.54,0.69
391,0.25,21.8444206349,0.1,6.93,0.8,23.165,0.46
392,0.25,18.748890873,0.1,8.12,0.85,19.43,0.55
393,0.25,20.0392460317,0.1,11.78,0.9,20.14,0.88
394,0.25,21.016390873,0.1,8.29,0.95,21.23,0.65
395,0.25,15.8792142857,0.1,8.93,1.0,16.725,0.69
396,0.3,22.3816269841,0.1,9.18,0.5,23.07,0.76
397,0.3,19.1749702381,0.1,7.25,0.55,19.48,0.52
398,0.3,20.3502599206,0.1,5.74,0.6,20.725,0.38
399,0.3,22.4866904762,0.1,12.0,0.65,23.44,0.8
400,0.3,20.1552916667,0.1,9.88,0.7,20.57,0.7
401,0.3,22.8126130952,0.1,9.7,0.75,23.83,0.65
402,0.3,22.9106984127,0.1,8.09,0.8,23.955,0.59
403,0.3,19.8577123016,0.1,5.55,0.85,20.165,0.44
404,0.3,19.0385138889,0.1,5.8,0.9,19.675,0.44
405,0.3,20.454297619,0.1,7.26,0.95,21.695,0.48
406,0.3,20.7183174603,0.1,9.19,1.0,21.115,0.69
407,0.35,22.4368055556,0.1,8.7,0.5,22.475,0.6
408,0.35,21.9299662698,0.1,11.24,0.55,22.395,0.73
409,0.35,23.532702381,0.1,9.38,0.6,24.025,0.64
410,0.35,22.4657797619,0.1,9.48,0.65,22.77,0.69
411,0.35,22.0270535714,0.1,10.43,0.7,22.285,0.68
412,0.35,21.9864186508,0.1,7.9,0.75,22.27,0.61
413,0.35,23.7773888889,0.1,8.95,0.8,23.895,0.69
414,0.35,21.5964285714,0.1,9.04,0.85,22.615,0.6
415,0.35,20.0957420635,0.1,5.62,0.9,20.64,0.41
416,0.35,18.673922619,0.1,11.75,0.95,18.995,0.74
